"skill_id","skill_name"
1,"Machine Learning"
2," Programming"
3," Python"
4," Scala"
5," Java"
6," Data Engineering"
7," Distributed Computing"
8," Statistical Modeling"
9," Optimization"
10," Data Pipelines"
11," Cloud Computing"
12," DevOps"
13," Software Development"
14," Data Gathering"
15," Data Preparation"
16," Data Visualization"
17," Machine Learning Frameworks"
18," scikitlearn"
19," PyTorch"
20," Dask"
21," Spark"
22," TensorFlow"
23," Distributed File Systems"
24," Multi node Database Paradigms"
25," Open Source ML Software"
26," Responsible AI"
27," Explainable AI"
28,"C++"
29," MXNet"
30," CUDA"
31," OpenCL"
32," OpenVX"
33," Halide"
34," SIMD programming models"
35," MLspecific accelerators"
36," Linux/unix environments"
37," Deep learning frameworks"
38," Computer vision deep learning models"
39," ML software and hardware technology"
40," Inference on edge platforms"
41," Cloud ML training pipelines"
42," HPC experience"
43," Performance troubleshooting"
44," Profiling"
45," Roofline model"
46," Analytical skills"
47," Communication skills"
48,"ETL"
49," Data Integration"
50," Data Transformation"
51," Data Warehousing"
52," Business Intelligence"
53," Data Modeling"
54," Data Architecture"
55," Data Quality"
56," Data Validation"
57," Data Cleansing"
58," Performance Optimization"
59," Performance Tuning"
60," Troubleshooting"
61," Documentation"
62," Reporting"
63," Data Analysis"
64," Collaboration"
65," Communication"
66," SQL"
67," Informatica"
68," Talend"
69," Apache NiFi"
70," AWS Redshift"
71," Azure SQL Data Warehouse"
72," Financial/Banking"
73," CloudBased Data Platforms"
74," Regulatory Compliance"
75,"Data Lakes"
76," Data Bricks"
77," Azure Data Factory Pipelines"
78," Data Warehouse"
79," SQL Server"
80," Azure"
81," ETL/ELT"
82," SQL Server Integration Services"
83," TSQL"
84," Data Formatting"
85," Data Capture"
86," Data Search"
87," Data Retrieval"
88," Data Extraction"
89," Data Classification"
90," Information Filtering"
91," Data Mining Architectures"
92," Modeling Standards"
93," Data Analysis Methodologies"
94," Database File Systems Optimization"
95," API's"
96," Analytics as a Service"
97," Relational Databases"
98," Dimensional Databases"
99," Entity Relationships"
100," Facts"
101," Dimensions"
102," Star Schema Concepts"
103," Star Schema Terminology"
104," Project Management"
105," Organizational Skills"
106," Technical Presentaion Skills"
107," 12+ Years of Relevant Experience"
108,"Java"
109," RDBMS"
110," NoSQL"
111," Redshift"
112," Snowflake"
113," Unit testing"
114," Agile engineering"
115," Big data technologies"
116," Cloud computing (AWS Microsoft Azure Google Cloud)"
117," Distributed data/computing tools (MapReduce Hadoop Hive EMR Kafka Spark Gurobi MySQL)"
118," Realtime data and streaming applications"
119," NoSQL implementation (Mongo Cassandra)"
120," Data warehousing (Redshift Snowflake)"
121," UNIX/Linux"
122," Shell scripting"
123,"Data Warehouse (DW)"
124," Extract/Transform/Load (ETL)"
125," Oracle"
126," VPD"
127," MuleSoft"
128," Cloudera Apache Hadoop Ecosystem"
129," Hadoop"
130," R"
131," AI/ML"
132," Predictive Analytics"
133," Business Objects"
134," Tableau"
135," OBIA/OBIEE"
136," Oracle Cloud Financials"
137," Power Designer"
138," Erwin"
139," UNIX"
140," ODBC"
141," JDBC"
142," Perl DBI"
143," Shell Scripting"
144," PL/SQL"
145," SQL Developer"
146," SQL Plus"
147," SQL Loader"
148," TOAD"
149," Data Profiling"
150," SourceTarget Mapping"
151," Transformations"
152," Business Rules"
153," OWB"
154," ODI"
155," Data Stage"
