"id","job_title","date_posted","job_desc","job_location","job_salary","job_type","company","company_url","job_skills"
"53858197","Actuarial Analyst","2024-10-26","Company DescriptionLegal & General is a leading UK financial services group and major global investor. We've been safeguarding people's financial futures since 1836, aiming to build a better society for the long term by investing our customers' money in things that make life  better for everyone and create value for our shareholders. We look after around 700,000 institutional customers who have their retirement benefits secured with us. Our Retail division helps people enjoy a more colourful retirement, both directly and through their employers, including Lifetime Mortgages, Retirement  Interest Only Mortgages and financial advice on our range of lending products. We're also one of Europe's largest asset managers, providing clients and partners with complex, responsible investment solutions, across public and private markets. Job DescriptionAre you looking for an exciting opportunity to earn while you learn?We are looking for a 13 month placement student working towards a numerate degree to work in our Actuarial teams in Hove, starting Monday 11th August 2025 for the duration of the academic year (finishing on 28th August 2026). This is a great opportunity for someone looking for an insight into the role of an Actuary; you don't need to currently be studying Actuarial Science although this would be advantageous. You will be exposed to all areas of pricing, modelling and analytical  work. Please note we only accept one application per recruitment cycle for our YII placement roles so please consider ALL placement positions before applying, as your first application will be considered your only application. You will also need to have your own valid right to work in the UK.  The responsibilities of this role are wide ranging and you will be exposed to a wide variety of pricing, modelling and analytical work: This includes: Collecting and analysing market data to provide insight and aide the pricing actuaries in setting insurance pricesSupport the pricing actuaries & data scientists in product developments, commercial deals, and pricing innovations.Summarising performance of insurance products to present to senior management to aid in decision making.Develop and price new and existing products, by providing pricing expertise and any additional support as required.Improve current team processes by utilising data analytics. Maintain appropriate documentation supporting the pricing procedures, analyses, decisions, processes, and controls.QualificationsOur ideal candidate will have the following skills, experience and attributes; An interest in a career in the actuarial sectorOn track for a 2:1 in a STEM degreeProficient with MS Office (Excel, PowerPoint, Word, Outlook, Teams).Effective communication skills and ability to work as part of a team.Strong analytical and problem-solving skills.Ability to work under time pressure and independently.Excellent organisation skills and the ability to prioritise.IT and programming skills (for example R, Python, SQL) are highly advantageous Additional InformationPlease note that this role is based in Hove and requires some in person working at our Hove office, as part of our hybrid working model. If you do not currently live within a commutable distance to the Hove office, you would need to relocate and unfortunately  we cannot provide financial support to do this. Whatever your role, we reward performance and behaviour with a package that looks after all the things that are important to you. Here are some of the benefits we offer: The opportunity to participate in our annual, performance-related bonus plan and valuable share schemes Generous pension contribution Life assurance Private medical insurance (permanent employees only) At least 25 days holiday, plus public holidays, 26 days after 2 years' service. There's also the option to buy and sell holiday Competitive family leave Participate in our electric car scheme, which offers employees the option to hire a brand-new electric car through tax efficient salary sacrifice There are the many discounts we offer - both for our own products and at a range of high street stores and online In 2023, some of our workspaces were redesigned. Our offices are great spaces to connect and collaborate and have your wellbeing at the heart  Legal & General is a leading financial services group and major global investor, named Britain's Most Admired Company in 2023, for the second year running. Rated top in our sector and top for inspirational leadership, we have a strong heritage and an exciting  future. We aim to build a better society for the long term by investing our customers' money in things that make life better for everyone. If you join us, you'll be part of a welcoming culture, with opportunities to collaborate with people of diverse backgrounds, views and experiences. Guided by leaders with integrity who care about your future and wellbeing. Empowered through initiatives which  support people to develop their careers and excel. We strive to be open, mindful and inclusive, so are always willing to discussing flexible working arrangements and reasonable accommodations for candidates with specific needs. If you're open to find out more, we'd love to hear from you.","East Sussex","Competitive salary","Permanent,full-time","eFinancialCareers",NA,""
"53858196","Actuarial Analyst","2024-10-16","Company DescriptionLegal & General is a leading UK financial services group and major global investor. We've been safeguarding people's financial futures since 1836, aiming to build a better society for the long term by investing our customers' money in things that make life  better for everyone and create value for our shareholders. We look after around 700,000 institutional customers who have their retirement benefits secured with us. Our Retail division helps people enjoy a more colourful retirement, both directly and through their employers, including Lifetime Mortgages, Retirement  Interest Only Mortgages and financial advice on our range of lending products. We're also one of Europe's largest asset managers, providing clients and partners with complex, responsible investment solutions, across public and private markets. Job DescriptionAre you looking for an exciting opportunity to earn while you learn?We are looking for a 13 month placement student working towards a numerate degree to work in our Actuarial teams in London, starting Monday 11th August 2025 for the duration of the academic year (finishing on 11th September 2026). This is a great opportunity for someone looking for an insight into the role of an Actuary; you don't need to currently be studying Actuarial Science although this would be advantageous. You will be exposed to all areas of pricing, modelling and analytical  work. Please note we only accept one application per recruitment cycle for our YII placement roles so please consider ALL placement positions before applying, as your first application will be considered your only application. You will also need to have your own valid right to work in the UK.  The responsibilities of this role are wide ranging and you will be exposed to a wide variety of pricing, modelling and analytical work: This includes: Collecting and analysing market data to provide insight and aide the pricing actuaries in setting insurance pricesSupport the pricing actuaries & data scientists in product developments, commercial deals, and pricing innovations.Summarising performance of insurance products to present to senior management to aid in decision making.Develop and price new and existing products, by providing pricing expertise and any additional support as required.Improve current team processes by utilising data analytics. Maintain appropriate documentation supporting the pricing procedures, analyses, decisions, processes, and controls.QualificationsOur ideal candidate will have the following skills, experience and attributes; An interest in a career in the actuarial sectorOn track for a 2:1 in a STEM degreeProficient with MS Office (Excel, PowerPoint, Word, Outlook, Teams).Effective communication skills and ability to work as part of a team.Strong analytical and problem-solving skills.Ability to work under time pressure and independently.Excellent organisation skills and the ability to prioritise.IT and programming skills (for example R, Python, SQL) are highly advantageous Additional InformationPlease note that this role is based in London and requires some in person working at our London office, as part of our hybrid working model. If you do not currently live within a commutable distance to the London office, you would need to relocate and unfortunately  we cannot provide financial support to do this. Whatever your role, we reward performance and behaviour with a package that looks after all the things that are important to you. Here are some of the benefits we offer: The opportunity to participate in our annual, performance-related bonus plan and valuable share schemes Generous pension contribution Life assurance Private medical insurance (permanent employees only) At least 25 days holiday, plus public holidays, 26 days after 2 years' service. There's also the option to buy and sell holiday Competitive family leave Participate in our electric car scheme, which offers employees the option to hire a brand-new electric car through tax efficient salary sacrifice There are the many discounts we offer - both for our own products and at a range of high street stores and online In 2023, some of our workspaces were redesigned. Our offices are great spaces to connect and collaborate and have your wellbeing at the heart  Legal & General is a leading financial services group and major global investor, named Britain's Most Admired Company in 2023, for the second year running. Rated top in our sector and top for inspirational leadership, we have a strong heritage and an exciting  future. We aim to build a better society for the long term by investing our customers' money in things that make life better for everyone. If you join us, you'll be part of a welcoming culture, with opportunities to collaborate with people of diverse backgrounds, views and experiences. Guided by leaders with integrity who care about your future and wellbeing. Empowered through initiatives which  support people to develop their careers and excel. We strive to be open, mindful and inclusive, so are always willing to discussing flexible working arrangements and reasonable accommodations for candidates with specific needs. If you're open to find out more, we'd love to hear from you.","South East England","Competitive salary","Permanent,full-time","eFinancialCareers",NA,""
"53857178","Java Engineer","2024-10-16","Java EngineerAbout Open Reply:Open Reply is the Reply Group company specialising in E-commerce and Digital Experience. We work with clients who are looking to incorporate E-commerce solutions, or wanting to migrate from their current platform to something better. As well as our specialist  skills in E-commerce and systems integration, we provide the digital transformation wrap that makes your customer journey a delight. Our experience is drawn from consultants working across multiple industries, platforms and cultures. Working closely with our  specialist partners Liferay and Shopware, Open Reply are your tailor made solution for cutting edge services that are based on the best of breed across eCommerce, digital, web, apps and flexible platform design. Role overview:As a Java Engineer, you will produce scalable software solutions as part of a cross-functional team responsible for the full software development life cycle, from conception to deployment. You will design and create software, write clean and functional code  for both the front and back end, and test and fix coding issues. You will integrate with our core delivery team focused on Web, eCommerce, and Mobile enhancements, collaborating alongside a technical project manager and a technical lead to deliver iterative  changes across multiple platforms. Responsibilities: Engage in hands-on coding for platform development, including designing both client-side and server-side architecture, and building front-end applications with appealing visual design Collaborate with our development teams, product managers and data scientists to ideate and improve software, ensuring adherence to best practice and development guidelines Develop and manage databases, write effective APIs, and ensure seamless application functionality Test, troubleshoot and debug software to ensure responsiveness, efficiency and security, including creating security and data protection settings Oversee release preparation, handle Level 3 support tickets when needed, and write clear technical documentation Push technical innovation through low risk and iterative changes, and build applications with a mobile responsive design About the candidate: A minimum Bachelor's or Master's degree (2.1 or higher) is required in IT, Computer Science, or in a Technology-related field Experienced developing desktop and mobile applications with at least 2 years' experience in a similar role Knowledge of multiple back-end languages (e.g. Java, Python, PHP) and JavaScript frameworks (e.g.Node.js) Familiarity with common stacks, databases (e.g. MySQL, MongoDB), web servers (e.g. Apache), version control systems (Git), UI/UX design and Agile environments (Scrum) Knowledge of front-end languages (e.g. HTML/ CSS, JavaScript, XML, jQuery) and frameworks (e.g. Angular, React) are a plus Basic Linux skills and experience with Atlassian tools (Jira, Confluence) are a plus You have excellent communication and teamwork skills, with a keen eye for detail and are committed to delivering high quality results You are naturally curious and eager to learn new skills, with a passion for technology  Reply is an Equal Opportunities Employer and committed to embracing diversity in the workplace. We provide equal employment opportunities to all employees and applicants for employment and prohibits discrimination and harassment of any type regardless of age,  sexual orientation, gender, identity, pregnancy, religion, nationality, ethnic origin, disability, medical history, skin colour, marital status or parental status or any other characteristic protected by the Law. Reply is committed to making sure that our selection methods are fair to everyone. To help you during the recruitment process, please let us know of any Reasonable Adjustments you may need.","South East England","Competitive salary","Permanent,full-time","eFinancialCareers",NA,""
"53857056","Junior C++ Quant Developer - Commodities- Global Hedge Fund","2024-10-16","Salary: £130-140k base + £50-70k bonus Unique opportunity for a junior modern C++ engineer to join one of the world's most prestigious hedge funds in a brand-new role within the centralized Commodities Quant team. In this critical role, you'll working closely with derivatives quants and data scientists across the business to research and develop commodities quantitative models specific to the risk & portfolio managers' needs. All greenfield work, your focus will be quantitative  analysis models for derivatives, including calculation and aggregation of raw risk metrics (the Greeks), risk projections, forward curve and volatility surface construction, handling timeseries data for the construction of price and volatility scenarios, and  modeling of Value at Risk (VaR) with both historical and factor-based approaches. This opportunity provides a collaborative, entrepreneurial and fast-paced environment with excellent opportunities for career growth. Skills and Experience RequiredExperience with and understanding of modern C++ (at least C++17, ideally later)Strong programming skills with clean reliable codeKeen interest in commodities marketsRealistically around 1-3 years of commercial experience post-graduationDesirableFamiliarity with at least one commodities asset class, e.g. energy, ags and softs, or base metalsPrevious experience researching and building risk models for commodities marketsHands-on experience with Python for prototyping and analysisBenefits & IncentivesSignificant salary + a bonus tied to profits / trading strategy successGreenfield work / big impactVery collaborative culture, ideas are implementedContactIf you feel you're suitable for this role, want to hear about similar positions, or would like help hiring similar developers for your company, please send your CV or get in touch: Richard Allan+44 (0) in/richardallanok/","South East England","Competitive salary","Permanent,full-time","eFinancialCareers",NA,""
"53229899","Python Developer RAD - Commodities- Top-tier Global Hedge Fund","2024-10-16","Salary: up to £150k + £75k bonus ClientOne of the world's most prestigious hedge funds is looking for a Python developer to join their growing Commodities team to work on RAD-style projects. This is a specialist team of engineers, quantitative developers and data scientists building a next-generation in-house commodity technology platform and the associated tools, applications and systems. Primarily developing in Python, you'll work closely with  a variety of Portfolio Management teams and thus have the opportunity to interact with a diverse range of technologies. To be successful in this role, you will enjoy facing off to the business, have a desire to work on fast-paced projects and have outstanding communication skills with both financial and technical people. Skills and Experience Required2+ years' experience, ideally developing applications with Python's Django/Flask/Tornado/FastAPI, as well as data-intensive Pandas and NumPySome web frontend development skills, ideally React or AngularWorking knowledge of SQL and databases, and unit testing experienceAdvanced degree in Computer Science (or similar scientific field) from a top-tier universityFinance experience, ideally in CommoditiesBenefits & IncentivesStrong salary + bonusesCollaborative culture and an energetic, dynamic engineering atmosphereBuild and share knowledge alongside top-tier engineersContactIf you feel you're suitable for this role, want to hear about similar positions, or would like help hiring similar developers for your company, then please send your CV or get in touch: Richard Allan+44 (0) in/richardallanok/","South East England","Competitive salary","Permanent,full-time","eFinancialCareers",NA,""
"53877596","UX/UI Designer - London","2024-10-18","UX/UI Designer - London - Permanent Key Skills: Figma, HTML, CSS, JavaScript Key Details: Permanent, London (2-3Days in), Legal Sector twentyAI have partnered with a leading legal business that are looking to ramp up there GenerativeAI capabilities. They have recently been growing out a function full of Data Scientists and Engineers that are using cutting edge techniques to build ground  breaking applications.  The next step for them is to bring onboard a UX/UI Designer that is going to be designing and building front-ends for these applications. They are looking for an individual that is well versed in Figma for design and front-end technologies such as JavaScript/HTML/CSS  for the build side. There is a clear pathway of projects that they are looking for this individual to complete. This is a permanent role based in London with the business wanting individuals in 2-3days a week. This role pays up to £90k+bonus.","South East England","Competitive salary","Permanent,full-time","eFinancialCareers",NA,""
"53856546","Senior Quantitative Software Engineer - Systematic Hedge Fund, London","2024-10-16","Primary Responsibilities Acting as a solution focused senior technical leader to the organization, providing technical thought-leadership and hands-on execution and support for high-impact projects.Collaborate with researchers and data scientists to provide iterative, insight-driven product solutions, ensuring the design and engineering of efficient, scalable, and robust systems.Work on large-scale financial data problems, optimizing service latency and performance for real-time data streaming and analytics.Identifying and evaluate technical solutions and innovations to drive competitive advantage and directly impact trading and Portfolio Management.Mentoring and coaching engineers at all levels, providing guidance on technical development.Establishing and enforcing coding standards, code reviews, and testing practices.Acting as an advocate for Engineering best practices within the teamsQualifications Strong computer science fundamentals and deep proficiency in data structures, algorithms, runtime complexity, API, and database design, holding at least a Bachelors in Computer Science.Demonstrated ability collaborating with sophisticated end users, such as researchers and data scientists with advanced STEM qualifications at the MSc or PhD level.Expertise in engineering platform solutions on systems of considerable scale and complexity.","South East England","Competitive salary","Permanent,full-time","eFinancialCareers",NA,""
"53797186","Delivery Manager, Implementation Services, Charles River Development, Vice President","2024-10-08","Who we are looking forThe Delivery Manager (VP) is part of the CRD Implementation Services team that is client-facing working to implement the Charles River Investment Management Solution (CRIMS) both as part of State Street Alpha and in isolation to new and existing CRD and State  Street Clients. This role is vital to ensure all implementation projects run to schedule and budget and that appropriate project management principles and processes are in place to ensure best practice. You will be responsible for designing and implementing  the strategies for multiple large scale programme initiatives. Why this role is important to usThe team you will be joining is a part of Charles River Development (or CRD), that became a part of State Street in 2018. CRD helps create enterprise investment management software solutions for large institutions in the areas of institutional investment, wealth  management and hedge funds. Together we have created first open front-to-back platform - State Street Alpha, that was launched in 2019. Join us if delivering next generation infrastructure, using emerging technologies like AI and Blockchain sounds like a challenge you are up for. What you will be responsible forAs the Delivery Manager you will Have the primary responsibility to programme manage multiple, simultaneous, complex implementation and upgrade CRIMS projects.Manage stakeholders at all levels (including senior leadership) and work with multiple cross functional teams to take ownership and accountability for program delivery and continuous improvement.Manage the financials, risk & audit and compliance requirements for the projects.Design structured Project Management and PMO processes and ensure governance models and principles are actively documented, promoted and implemented effectively for multiple projects / programs.Work with internal and external parties to understand requirements, priorities and delivery optionsGain understanding of CRD business and system and where it fits in to the STT Alpha strategy.Act as leader and coach of your project (team) and ensure teamwork across teams, especially with your team colleagues.Own and handle project deliverables with versioning and approvals documented where required for audit purposesWork with us in a team of highly dedicated, experienced and qualified individualsAdapts problem solving approach and demeanour to match shifting demands and situations. Construct long-term, sophisticated project plans for programs or multiple workstreams within larger programs.Manage project meetings and workshops with External Clients and Internal Stakeholders and produce relevant outputs.Develop consultative partnerships with Senior Stakeholders both internal and external to understand their strategic objectives, key performance indicators and reporting requirements.Provide regular status updates, identifying risks/issues, and developing recommended mitigation approaches to manager; and conducting strategic research on client industry and technical matters and providing summary on insights, trends, and benchmarks.What we value Extensive experience working as a Senior Project Management professional, ideally within a Consultancy and/or Fintech environment with a focus on Software Implementation projects.experience working in a fast-paced environment, managing multiple projects concurrently in an independent manner;Experience of Buy side systems in a delivery, project or programme capacity.Good working knowledge of Investment Management industry with front and middle office essential, back office/TPA/ Custody desirable.An ability to work well with colleagues in a team environment and ability to manage stakeholders across all levels of a large, complex organization including senior management;Solid proficiency in defining and implementing communication strategy with mastery of both written and oral form and ability to negotiate and handle difficult situations effectively;Prior experience in a position requiring creativity, innovation, and strong analytical and problem-solving skills including the ability to frame complex problems and develop recommended solutions,Experience in handling program(s) in a Front-to-Back environment responsible for the overall IT work-stream deliveryYou can communicate, negotiate and network effectively on all organizational levels as well as within a multi-cultural environment.Ability to take care of unplanned situations, implement responses, and propose changes to minimize impact.Ability to influence and drive decisions.Excellent planning, analytical skills, conceptual skills and decision-making abilitiesAbility to set goals and prioritize activities to improve business growth and client satisfaction.You are an open-minded team-player, hardworking and motivated personality with a can-do attitude and a track record of solving complex challengesAbility to work under pressure in a fast-paced environment is essentialEducation & Preferred QualificationsUniversity Degree in Technical or Financial Discipline essentialUp to date qualifications/certifications in Project Management methodology eg Prince2MS Project experience essential.Additional requirementsSome European Travel may be required.Knowledge of additional European language will be considered a plus.About State StreetWhat we do. State Street is one of the largest custodian banks, asset managers and asset intelligence companies in the world. From technology to product innovation we're making our mark on the financial services industry. For more than two centuries,  we've been helping our clients safeguard and steward the investments of millions of people. We provide investment servicing, data & analytics, investment research & trading and investment management to institutional clients. Work, Live and Grow. We make all efforts to create a great work environment. Our benefits packages are competitive and comprehensive. Details vary in locations, but you may expect generous medical care, insurance and savings plans among other perks.  You'll have access to flexible Work Program to help you match your needs. And our wealth of development programs and educational support will help you reach your full potential. Inclusion, Diversity and Social Responsibility. We truly believe our employees' diverse backgrounds, experiences and perspective are a powerful contributor to c","South East England","Competitive salary","Permanent,full-time","eFinancialCareers",NA,""
"53857730","Delivery Manager, Implementation Services, Charles River Development, Vice President","2024-10-16","Who we are looking forThe Delivery Manager (VP) is part of the CRD Implementation Services team that is client-facing working to implement the Charles River Investment Management Solution (CRIMS) both as part of State Street Alpha and in isolation to new and existing CRD and State  Street Clients. This role is vital to ensure all implementation projects run to schedule and budget and that appropriate project management principles and processes are in place to ensure best practice. You will be responsible for designing and implementing  the strategies for multiple large scale programme initiatives. Why this role is important to usThe team you will be joining is a part of Charles River Development (or CRD), that became a part of State Street in 2018. CRD helps create enterprise investment management software solutions for large institutions in the areas of institutional investment, wealth  management and hedge funds. Together we have created first open front-to-back platform - State Street Alpha, that was launched in 2019. Join us if delivering next generation infrastructure, using emerging technologies like AI and Blockchain sounds like a challenge you are up for. What you will be responsible forAs the Delivery Manager you will Have the primary responsibility to programme manage multiple, simultaneous, complex implementation and upgrade CRIMS projects.Manage stakeholders at all levels (including senior leadership) and work with multiple cross functional teams to take ownership and accountability for program delivery and continuous improvement.Manage the financials, risk & audit and compliance requirements for the projects.Design structured Project Management and PMO processes and ensure governance models and principles are actively documented, promoted and implemented effectively for multiple projects / programs.Work with internal and external parties to understand requirements, priorities and delivery optionsGain understanding of CRD business and system and where it fits in to the STT Alpha strategy.Act as leader and coach of your project (team) and ensure teamwork across teams, especially with your team colleagues.Own and handle project deliverables with versioning and approvals documented where required for audit purposesWork with us in a team of highly dedicated, experienced and qualified individualsAdapts problem solving approach and demeanour to match shifting demands and situations. Construct long-term, sophisticated project plans for programs or multiple workstreams within larger programs.Manage project meetings and workshops with External Clients and Internal Stakeholders and produce relevant outputs.Develop consultative partnerships with Senior Stakeholders both internal and external to understand their strategic objectives, key performance indicators and reporting requirements.Provide regular status updates, identifying risks/issues, and developing recommended mitigation approaches to manager; and conducting strategic research on client industry and technical matters and providing summary on insights, trends, and benchmarks.What we value Extensive experience working as a Senior Project Management professional, ideally within a Consultancy and/or Fintech environment with a focus on Software Implementation projects.experience working in a fast-paced environment, managing multiple projects concurrently in an independent manner;Experience of Buy side systems in a delivery, project or programme capacity.Good working knowledge of Investment Management industry with front and middle office essential, back office/TPA/ Custody desirable.An ability to work well with colleagues in a team environment and ability to manage stakeholders across all levels of a large, complex organization including senior management;Solid proficiency in defining and implementing communication strategy with mastery of both written and oral form and ability to negotiate and handle difficult situations effectively;Prior experience in a position requiring creativity, innovation, and strong analytical and problem-solving skills including the ability to frame complex problems and develop recommended solutions,Experience in handling program(s) in a Front-to-Back environment responsible for the overall IT work-stream deliveryYou can communicate, negotiate and network effectively on all organizational levels as well as within a multi-cultural environment.Ability to take care of unplanned situations, implement responses, and propose changes to minimize impact.Ability to influence and drive decisions.Excellent planning, analytical skills, conceptual skills and decision-making abilitiesAbility to set goals and prioritize activities to improve business growth and client satisfaction.You are an open-minded team-player, hardworking and motivated personality with a can-do attitude and a track record of solving complex challengesAbility to work under pressure in a fast-paced environment is essentialEducation & Preferred QualificationsUniversity Degree in Technical or Financial Discipline essentialUp to date qualifications/certifications in Project Management methodology eg Prince2MS Project experience essential.Additional requirementsSome European Travel may be required.Knowledge of additional European language will be considered a plus.About State StreetWhat we do. State Street is one of the largest custodian banks, asset managers and asset intelligence companies in the world. From technology to product innovation we're making our mark on the financial services industry. For more than two centuries,  we've been helping our clients safeguard and steward the investments of millions of people. We provide investment servicing, data & analytics, investment research & trading and investment management to institutional clients. Work, Live and Grow. We make all efforts to create a great work environment. Our benefits packages are competitive and comprehensive. Details vary in locations, but you may expect generous medical care, insurance and savings plans among other perks.  You'll have access to flexible Work Program to help you match your needs. And our wealth of development programs and educational support will help you reach your full potential. Inclusion, Diversity and Social Responsibility. We truly believe our employees' diverse backgrounds, experiences and perspective are a powerful contributor to c","South East England","Competitive salary","Permanent,full-time","eFinancialCareers",NA,""
"53888883","Senior Consultant, Implementation Services, Charles River Development, Assistant Vice President","2024-10-22","Who we are looking forCharles River are looking to expand their established Implementation Services Team. The Consultant is responsible for all aspects of implementation for the Charles River IMS. They will need to become a product expert in a short amount of time and remain up-to-date  as product and industry changes require. A Consultant needs to manage the competing demands of the clients to whom the he or she is assigned, operating administratively as well as hands-on. In depth training will be provided at our London office (5 weeks). The ideal candidate will have a mixture of asset management/business knowledge, business analysis, project experience, relationship management and implementation experience. They will be comfortable running a large and complex implementation project, dealing  with all the associated issues, either individually or as part of a larger team. Why this role is important to usThe team you will be joining is a part of Charles River Development (or CRD), that became a part of State Street in 2018. CRD helps create enterprise investment management software solutions for large institutions in the areas of institutional investment, wealth  management and hedge funds. Together we have created first open front-to-back platform - State Street Alpha, that was launched in 2019. Join us if delivering next generation infrastructure, using emerging technologies like AI and Blockchain sounds like a challenge you are up for. What you will be responsible forAs Senior Consultant - Implementation Services you will be responsible for: Day to day management of an implementation project from a CRD perspective Interpreting workflow analysis documents and the conversion of these documents into specifications for CR IMS configuration to ensure Best Practice delivery Providing on-going communication and evaluation of project status to the client and Charles River Project Manager Providing a single point of contact for a Client during the Implementation project. Undertaking the daily execution of the project plan steps Ensuring that the Client's needs are understood and documented Providing proactive leadership in a Client's utilization of CRD products and services Facilitating conference calls & meetings with other consultants and product experts Communicating pertinent information on upgrades and major releases Managing training and consulting resource requests Monitoring and assisting with the issue escalation process Responding to additional product requests Managing the co-ordination of work undertaken by CRD's representatives in other locations for the implementation Maintain a general awareness of industry changes/trends The role involves extensive travel and can involve spending up to 5 days per week on a client site within the EMEA region. What we value Extensive experience in a similar role implementing financial systems. Strong Front Office experience (order management, dealing with Fund Managers/Traders) Applications experience with Charles River Investment Management System or Equivalent (competitor) Good Investment Management and market instrument knowledge - Front Office workflows; Fixed Income/derivatives, Equity, Compliance, IBOR, PMA, Ex-Ante and Ex-Post Risk and Scenario Analysis A specific previous area of focus e.g. Risk systems, IBOR, Scenario Analysis is desirable Education & Preferred QualificationsFluency in a second European Language is highly desirable University degree - ideally in a Finance or Technology discipline. Additional requirementsHave superior client facing skills Some technical knowledge, ideally SQL Experience dealing with users or clients from either a technical or business area Comfortable making presentations covering business, technical or sales Experience managing/coordinating projects and a demonstrable understanding of the project life-cycle. About State StreetWhat we do. State Street is one of the largest custodian banks, asset managers and asset intelligence companies in the world. From technology to product innovation we're making our mark on the financial services industry. For more than two centuries,  we've been helping our clients safeguard and steward the investments of millions of people. We provide investment servicing, data & analytics, investment research & trading and investment management to institutional clients. Work, Live and Grow. We make all efforts to create a great work environment. Our benefits packages are competitive and comprehensive. Details vary in locations, but you may expect generous medical care, insurance and savings plans among other  perks. You'll have access to flexible Work Program to help you match your needs. And our wealth of development programs and educational support will help you reach your full potential. Inclusion, Diversity and Social Responsibility. We truly believe our employees' diverse backgrounds, experiences and perspective are a powerful contributor to creating an inclusive environment where everyone can thrive and reach their maximum  potential while adding value to both our organization and our clients. We warmly welcome the candidates of diverse origin, background, ability, age, sexual orientation, gender identity and personality. Another fundamental value at State Street is active engagement  with our communities around the world, both as a partner and a leader. You will have tools to help balance your professional and personal life, paid volunteer days, matching gift program and access to employee networks that help you stay connected to what  matters to you. State Street is an equal opportunity and affirmative action employer. Discover more at careers State Street's Speak Up Line","South East England","Competitive salary","Permanent,full-time","eFinancialCareers",NA,""
