"","skill_id","job_skills"
"1",1,"Machine Learning"
"2",2," Programming"
"3",3," Python"
"4",4," Scala"
"5",5," Java"
"6",6," Data Engineering"
"7",7," Distributed Computing"
"8",8," Statistical Modeling"
"9",9," Optimization"
"10",10," Data Pipelines"
"11",11," Cloud Computing"
"12",12," DevOps"
"13",13," Software Development"
"14",14," Data Gathering"
"15",15," Data Preparation"
"16",16," Data Visualization"
"17",17," Machine Learning Frameworks"
"18",18," scikitlearn"
"19",19," PyTorch"
"20",20," Dask"
"21",21," Spark"
"22",22," TensorFlow"
"23",23," Distributed File Systems"
"24",24," Multi node Database Paradigms"
"25",25," Open Source ML Software"
"26",26," Responsible AI"
"27",27," Explainable AI"
"28",28,"C++"
"29",29," MXNet"
"30",30," CUDA"
"31",31," OpenCL"
"32",32," OpenVX"
"33",33," Halide"
"34",34," SIMD programming models"
"35",35," MLspecific accelerators"
"36",36," Linux/unix environments"
"37",37," Deep learning frameworks"
"38",38," Computer vision deep learning models"
"39",39," ML software and hardware technology"
"40",40," Inference on edge platforms"
"41",41," Cloud ML training pipelines"
"42",42," HPC experience"
"43",43," Performance troubleshooting"
"44",44," Profiling"
"45",45," Roofline model"
"46",46," Analytical skills"
"47",47," Communication skills"
"48",48,"ETL"
"49",49," Data Integration"
"50",50," Data Transformation"
"51",51," Data Warehousing"
"52",52," Business Intelligence"
"53",53," Data Modeling"
"54",54," Data Architecture"
"55",55," Data Quality"
"56",56," Data Validation"
"57",57," Data Cleansing"
"58",58," Performance Optimization"
"59",59," Performance Tuning"
"60",60," Troubleshooting"
"61",61," Documentation"
"62",62," Reporting"
"63",63," Data Analysis"
"64",64," Collaboration"
"65",65," Communication"
"66",66," SQL"
"67",67," Informatica"
"68",68," Talend"
"69",69," Apache NiFi"
"70",70," AWS Redshift"
"71",71," Azure SQL Data Warehouse"
"72",72," Financial/Banking"
"73",73," CloudBased Data Platforms"
"74",74," Regulatory Compliance"
"75",75,"Data Lakes"
"76",76," Data Bricks"
"77",77," Azure Data Factory Pipelines"
"78",78," Data Warehouse"
"79",79," SQL Server"
"80",80," Azure"
"81",81," ETL/ELT"
"82",82," SQL Server Integration Services"
"83",83," TSQL"
"84",84," Data Formatting"
"85",85," Data Capture"
"86",86," Data Search"
"87",87," Data Retrieval"
"88",88," Data Extraction"
"89",89," Data Classification"
"90",90," Information Filtering"
"91",91," Data Mining Architectures"
"92",92," Modeling Standards"
"93",93," Data Analysis Methodologies"
"94",94," Database File Systems Optimization"
"95",95," API's"
"96",96," Analytics as a Service"
"97",97," Relational Databases"
"98",98," Dimensional Databases"
"99",99," Entity Relationships"
"100",100," Facts"
"101",101," Dimensions"
"102",102," Star Schema Concepts"
"103",103," Star Schema Terminology"
"104",104," Project Management"
"105",105," Organizational Skills"
"106",106," Technical Presentaion Skills"
"107",107," 12+ Years of Relevant Experience"
"108",108,"Java"
"109",109," RDBMS"
"110",110," NoSQL"
"111",111," Redshift"
"112",112," Snowflake"
"113",113," Unit testing"
"114",114," Agile engineering"
"115",115," Big data technologies"
"116",116," Cloud computing (AWS Microsoft Azure Google Cloud)"
"117",117," Distributed data/computing tools (MapReduce Hadoop Hive EMR Kafka Spark Gurobi MySQL)"
"118",118," Realtime data and streaming applications"
"119",119," NoSQL implementation (Mongo Cassandra)"
"120",120," Data warehousing (Redshift Snowflake)"
"121",121," UNIX/Linux"
"122",122," Shell scripting"
"123",123,"Data Warehouse (DW)"
"124",124," Extract/Transform/Load (ETL)"
"125",125," Oracle"
"126",126," VPD"
"127",127," MuleSoft"
"128",128," Cloudera Apache Hadoop Ecosystem"
"129",129," Hadoop"
"130",130," R"
"131",131," AI/ML"
"132",132," Predictive Analytics"
"133",133," Business Objects"
"134",134," Tableau"
"135",135," OBIA/OBIEE"
"136",136," Oracle Cloud Financials"
"137",137," Power Designer"
"138",138," Erwin"
"139",139," UNIX"
"140",140," ODBC"
"141",141," JDBC"
"142",142," Perl DBI"
"143",143," Shell Scripting"
"144",144," PL/SQL"
"145",145," SQL Developer"
"146",146," SQL Plus"
"147",147," SQL Loader"
"148",148," TOAD"
"149",149," Data Profiling"
"150",150," SourceTarget Mapping"
"151",151," Transformations"
"152",152," Business Rules"
"153",153," OWB"
"154",154," ODI"
"155",155," Data Stage"
"156",156," Unix Server"
"157",157," Windows Workstation"
"158",158," Windows Server"
"159",159," Microsoft Office"
"160",160," Excel"
"161",161," Analytic Skills"
"162",162," ProblemSolving"
"163",163," Communication Skills"
"164",164," Teamwork"
"165",165," Accountability"
"166",166," Attention to Detail"
"167",167," Accuracy"
"168",168," Generative AI"
"169",169," Cloudbased services"
"170",170," Risk management"
"171",171," Project management"
"172",172," Process management"
"173",173," Data model"
"174",174," PRIME system"
"175",175," Lean"
"176",176," Green Belt Certification"
"177",177," CRISC"
"178",178," CISM"
"179",179," CRCM"
"180",180," CIPP"
"181",181," ABA Risk Management Certification"
"182",182," Compliance"
"183",183," Legal"
"184",184," Regulatory"
"185",185," Operations"
"186",186," Cybersecurity"
"187",187,"Data Loss Prevention (DLP)"
"188",188," Web Proxy"
"189",189," Email"
"190",190," Endpoint Solutions"
"191",191," Symantec Data Loss Prevention (DLP)"
"192",192," Agile Delivery"
"193",193," Public Cloud Security"
"194",194," MultiCloud Environments"
"195",195," IT Delivery Projects"
"196",196," JIRA"
"197",197," Cloud Certifications (AWS)"
"198",198," Security Certifications (CISSP)"
"199",199," Computer Science"
"200",200," Systems Engineering"
"201",201," Software Development Practices"
"202",202," Platform Engineering"
"203",203,"Problem solving"
"204",204," Data analysis"
"205",205," Predictive analysis"
"206",206," Trend identification"
"207",207," Performance monitoring"
"208",208," Financial risk management"
"209",209," Business process analysis"
"210",210," Visio"
"211",211," Smartsheet"
"212",212," SNOW"
"213",213," SAP"
"214",214," Power BI"
"215",215," Leadership"
"216",216," Bachelor's degree"
"217",217," Professional certification"
"218",218," Graduate degree"
"219",219," System Design"
"220",220," Multimodal Input"
"221",221," Prototyping"
"222",222," Data Management"
"223",223," Scalability"
"224",224," Reliability"
"225",225," Performance"
"226",226," C++"
"227",227," Distributed Systems"
"228",228," Infrastructure Design"
"229",229," Complex Systems"
"230",230," Software Engineering"
"231",231," ML Pipeline Automation"
"232",232," ML Workflows"
"233",233," ML Systems"
"234",234,"SQL"
"235",235," Database Administration"
"236",236," Advanced Statistical Analysis"
"237",237," Forecasting Techniques"
"238",238," Data Abnormalities Detection"
"239",239," Contact Workforce Management"
"240",240," Crossfunctional Collaboration"
"241",241," Performance Analytics"
"242",242," Root Cause Analysis"
"243",243," Forecasting and Scheduling"
"244",244," Service Level Management"
"245",245," Hindsight Analysis"
"246",246," Business Communication"
"247",247," Problemsolving"
"248",248," Decisionmaking"
"249",249," ACD"
"250",250," BackOffice Work Routing"
"251",251," WFM Software"
"252",252," Bachelor's degree in business accounting finance statistics or economics"
"253",253,"Master Data Analyst"
"254",254," Data/Master Data Experience"
"255",255," Polished People/Senior Stakeholder Engagement"
"256",256," Data Ingestion Pipelines"
"257",257," Business Process Workflow"
"258",258," Data Matching & Deduplication"
"259",259," Standardization"
"260",260," SemiAgile Delivery Framework"
"261",261," MDM Strategies"
"262",262," MDM Policies"
"263",263," MDM Functional Implementation"
"264",264," MDM Requirement Analysis"
"265",265," Deterministic Matching"
"266",266," Probabilistic Matching"
"267",267," Master Data Hierarchy Management"
"268",268," HighLevel Design"
"269",269," Data Scorecard Development"
"270",270," Exception Management"
"271",271," LargeScale MDM Project Implementation"
"272",272," Thought Leadership"
"273",273," Data Quality Analysis"
"274",274," Data Governance Policies"
"275",275," ETL Flows"
"276",276," SourcetoTarget Mapping"
"277",277," Requirements Gathering"
"278",278," Agile/Waterfall SDLC"
"279",279," Time Management"
"280",280," Analytical Skills"
"281",281," Informatica MDM/DG"
"282",282," SAP MDM"
"283",283," Data Enrichment"
"284",284," Dun & Bradstreet"
"285",285,"Corporate Law"
"286",286," Private Equity"
"287",287," Venture Capital"
